stationid,stationname,masterid,latitude,longitude,huc,county,smcshed,taxon
404M07368,,404M07368,34.1264,-118.75364,404,Los Angeles,Santa Monica Bay,Procambarus clarkii
404M07360,,404M07360,34.15459,-118.75848,404,Los Angeles,Santa Monica Bay,Procambarus clarkii
404M07365,,404M07365,34.04241,-118.51361,404,Los Angeles,Santa Monica Bay,Other fish
SMC01384,,SMC01384,34.0646,-118.70091,404,Los Angeles,Santa Monica Bay,Cyprinus carpio
SGUR3984,,SMC03984,34.24613,-117.90186,405,Los Angeles,San Gabriel,Other reptile
SGUR3984,,SMC03984,34.24613,-117.90186,405,Los Angeles,San Gabriel,Other fish
904WE1125,Escondido Creek above Country Club Dr.,904WE1125,33.09896,-117.12876,904,San Diego,Central San Diego,Not Recorded
904M21764,,904M21764,33.2075,-117.28072,904,San Diego,Central San Diego,Procambarus clarkii
904M21764,,904M21764,33.2075,-117.28072,904,San Diego,Central San Diego,Gambusia affinis
SMC01097,,902S01097,33.48724,-117.25537,902,Riverside,Northern San Diego,Other amphibian
SMC00271,,403S00271,34.5485,-119.16547,403,Ventura,Santa Clara,Micropterus dolomieu
SMC00271,,403S00271,34.5485,-119.16547,403,Ventura,Santa Clara,Other fish
SMC00271,,403S00271,34.5485,-119.16547,403,Ventura,Santa Clara,Other reptile
402M00043,Matilija Creek below hot springs,402M00043,34.50161,-119.34749,402,Ventura,Ventura,Other fish
403M05774,Santa Clara R. 1.3km. u/s of conf. w. Castaic,403M05774,34.42692,-118.62067,403,Los Angeles,Santa Clara,NA
SMC01278,,SMC01278,33.82099,-118.06645,405,Los Angeles,San Gabriel,NA
405M10600,Craig Park,405M10600,33.85293,-118.10127,405,Los Angeles,San Gabriel,NA
SMC00027,,403BA0027,34.66254,-119.05249,403,Ventura,Santa Clara,Other amphibian
403M01522,Piru Creek below Center St,403M01522,34.41442,-118.78842,403,Ventura,Santa Clara,Gambusia affinis
408M03027,ConejoCk_HillCyn_u/s of ArrStaRosaPk,408M03027,34.22489,-118.92975,408,Ventura,Calleguas,Other fish
801WE1008,Barton Creek ~ 1.4 mi. NW of Barton Flats Campground,801WE1008,34.18128,-116.91197,801,San Bernardino,Upper Santa Ana,NA
405PS0036,West Fork San Gabriel River,405PS0036,34.24118,-117.93426,405,Los Angeles,San Gabriel,Other fish
408M03020,Calleguas Creek upstream of Potrero Rd,408M03020,34.16846,-119.05726,408,Ventura,Calleguas,NA
SMC00836,,408BA0836,34.19071,-119.00511,408,Ventura,Calleguas,Micropterus almoides
SMC00836,,408BA0836,34.19071,-119.00511,408,Ventura,Calleguas,Procambarus clarkii
ME-CC,,ME-CC,34.17912,-119.03968,408,Ventura,Calleguas,NA
412PS0040,Bull Creek 40,412PS0040,34.26065,-118.48935,412,Los Angeles,Los Angeles,Procambarus clarkii
412M08610,Santa Anita Wash,412M08610,34.20112,-118.01825,412,Los Angeles,Los Angeles,Other amphibian
ME-VR2,,ME-VR2,34.34584,-119.29948,402,Ventura,Ventura,Lithobates catesbeianus
404M04599,W ForkArroyoSequit_CircleXgrotto,404M04599,34.09458,-118.92442,404,Ventura,Santa Monica Bay,Other amphibian
